"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
116,Shelli,Baida,SBAIDA,5151274563,2005-12-24 00:00:00.000,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,5151274565,2005-07-24 00:00:00.000,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,5151274565,2006-11-15 00:00:00.000,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,5151274566,2007-08-10 00:00:00.000,PU_CLERK,2500,,114,30
120,Matthew,Weiss,MWEISS,6501231234,2004-07-18 00:00:00.000,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,6501232234,2005-04-10 00:00:00.000,ST_MAN,8300,,100,50
122,Payam,Kaufling,PKAUFLIN,6501233234,2003-05-01 00:00:00.000,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,6501234234,2005-10-10 00:00:00.000,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,6501235234,2007-11-16 00:00:00.000,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,6501241214,2005-07-16 00:00:00.000,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,6501241224,2006-09-28 00:00:00.000,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,6501241334,2007-01-14 00:00:00.000,ST_CLERK,2400,,120,50
128,Steven,Markle,SMARKLE,6501241434,2008-03-08 00:00:00.000,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,6501245234,2005-08-20 00:00:00.000,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSO,6501246234,2005-10-30 00:00:00.000,ST_CLERK,2800,,121,50
131,James,Marlow,JAMRLOW,6501247234,2005-02-16 00:00:00.000,ST_CLERK,2500,,121,50
132,TJ,Olson,TJOLSON,6501248234,2007-04-10 00:00:00.000,ST_CLERK,2100,,121,50
133,Jason,Mallin,JMALLIN,6501271934,2004-06-14 00:00:00.000,ST_CLERK,3300,,122,50
134,Michael,Rogers,MROGERS,6501271834,2006-08-26 00:00:00.000,ST_CLERK,2900,,122,50
135,Ki,Gee,KGEE,6501271734,2007-12-12 00:00:00.000,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,6501271634,2008-02-06 00:00:00.000,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,6501211234,2003-07-14 00:00:00.000,ST_CLERK,3600,,123,50
138,Stephen,Stiles,SSTILES,6501212034,2005-10-26 00:00:00.000,ST_CLERK,3200,,123,50
139,John,Seo,JSEO,6501212019,2006-02-12 00:00:00.000,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,6501211834,2006-04-06 00:00:00.000,ST_CLERK,2500,,123,50
141,Trenna,Rajs,TRAJS,6501218009,2003-10-17 00:00:00.000,ST_CLERK,3500,,124,50
142,Curtis,Davies,CDAVIES,6501212994,2005-01-29 00:00:00.000,ST_CLERK,3100,,124,50
143,Randall,Matos,RMATOS,6501212874,2006-03-15 00:00:00.000,ST_CLERK,2600,,124,50
144,Peter,Vargas,PVARGAS,6501212004,2006-07-09 00:00:00.000,ST_CLERK,2500,,124,50
180,Winston,Taylor,WTAYLOR,6505079876,2006-01-24 00:00:00.000,SH_CLERK,3200,,120,50
181,Jean,Fleaur,JFLEAUR,6505079877,2006-02-23 00:00:00.000,SH_CLERK,3100,,120,50
182,Martha,Sullivan,MSULLIVA,6505079878,2007-06-21 00:00:00.000,SH_CLERK,2500,,120,50
183,Girard,Geoni,GGEONI,6505079879,2008-02-03 00:00:00.000,SH_CLERK,2800,,120,50
184,Nandita,Sarchand,NSARCHAN,6505091876,2004-01-27 00:00:00.000,SH_CLERK,4200,,121,50
185,Alexis,Bull,ABULL,6505092876,2005-02-20 00:00:00.000,SH_CLERK,4100,,121,50
186,Julia,Dellinger,JDELLING,6505093876,2006-06-24 00:00:00.000,SH_CLERK,3400,,121,50
187,Anthony,Cabrio,ACABRIO,6505094876,2007-02-07 00:00:00.000,SH_CLERK,3000,,121,50
188,Kelly,Chung,KCHUNG,6505051876,2005-06-14 00:00:00.000,SH_CLERK,3800,,122,50
189,Jennifer,Dilly,JDILLY,6505052876,2005-08-13 00:00:00.000,SH_CLERK,3600,,122,50
190,Timothy,Gates,TGATES,6505053876,2006-07-11 00:00:00.000,SH_CLERK,2900,,122,50
191,Randall,Perkins,RPERKINS,6505054876,2007-12-19 00:00:00.000,SH_CLERK,2500,,122,50
192,Sarah,Bell,SBELL,6505011876,2004-02-04 00:00:00.000,SH_CLERK,4000,,123,50
193,Britney,Everett,BEVERETT,6505012876,2005-03-03 00:00:00.000,SH_CLERK,3900,,123,50
194,Samuel,McCain,SMCCAIN,6505013876,2006-07-01 00:00:00.000,SH_CLERK,3200,,123,50
195,Vance,Jones,VJONES,6505014876,2007-03-17 00:00:00.000,SH_CLERK,2800,,123,50
196,Alana,Walsh,AWALSH,6505079811,2006-04-24 00:00:00.000,SH_CLERK,3100,,124,50
197,Kevin,Feeney,KFEENEY,6505079822,2006-05-23 00:00:00.000,SH_CLERK,3000,,124,50
198,Donald,OConnell,DOCONNEL,6505079833,2007-06-21 00:00:00.000,SH_CLERK,2600,,124,50
199,Douglas,Grant,DGRANT,6505079844,2008-01-13 00:00:00.000,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,5151234444,2003-09-17 00:00:00.000,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,5151235555,2004-02-17 00:00:00.000,MK_MAN,13000,,100,20
202,Pat,Fay,PFAY,6031236666,2005-08-17 00:00:00.000,MK_REP,6000,,201,20
203,Susan,Mavris,SMAVRIS,5151237777,2002-06-07 00:00:00.000,HR_REP,6500,,101,40
204,Hermann,Baer,HBAER,5151238888,2002-06-07 00:00:00.000,PR_REP,10000,,101,70
205,Shelley,Higgins,SHIGGINS,5151238080,2002-06-07 00:00:00.000,AC_MGR,12008,,101,110
206,William,Gietz,WGIETZ,5151238181,2002-06-07 00:00:00.000,AC_ACCOUNT,8300,,205,110
207,Gandhi,Reddy,mohithzz8@gmail.com,9988776655,2002-06-07 00:00:00.000,AC_ACCOUNT,10280,0.22,206,100
