"EMPLOYEE_KEY","EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID","EFF_DATE","END_DATE"
164,112,Jose Manuel,Urman,JMURMAN,5151244469,2006-03-07 00:00:00.000,FI_ACCOUNT,7800,,108,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
165,113,Luis,Popp,LPOPP,5151244567,2007-12-07 00:00:00.000,FI_ACCOUNT,6900,,100,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
166,114,Daniel,Raphaely,DRAPHEAL,5151274561,2002-12-07 00:00:00.000,PU_MAN,11000,,100,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
167,115,Alexander,Khool,AKHOO,5151274562,2003-05-18 00:00:00.000,PU_CLERK,3100,,114,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
168,116,Shelli,Baida,SBAIDA,5151274563,2005-12-24 00:00:00.000,PU_CLERK,2900,,114,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
169,117,Sigal,Tobias,STOBIAS,5151274565,2005-07-24 00:00:00.000,PU_CLERK,2800,,114,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
170,118,Guy,Himuro,GHIMURO,5151274565,2006-11-15 00:00:00.000,PU_CLERK,2600,,114,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
171,119,Karen,Colmenares,KCOLMENA,5151274566,2007-08-10 00:00:00.000,PU_CLERK,2500,,114,30,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
172,120,Matthew,Weiss,MWEISS,6501231234,2004-07-18 00:00:00.000,ST_MAN,8000,,100,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
173,121,Adam,Fripp,AFRIPP,6501232234,2005-04-10 00:00:00.000,ST_MAN,8300,,100,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
174,122,Payam,Kaufling,PKAUFLIN,6501233234,2003-05-01 00:00:00.000,ST_MAN,7900,,100,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
175,123,Shanta,Vollman,SVOLLMAN,6501234234,2005-10-10 00:00:00.000,ST_MAN,6500,,100,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
176,124,Kevin,Mourgos,KMOURGOS,6501235234,2007-11-16 00:00:00.000,ST_MAN,5800,,100,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
177,125,Julia,Nayer,JNAYER,6501241214,2005-07-16 00:00:00.000,ST_CLERK,3200,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
178,126,Irene,Mikkilineni,IMIKKILI,6501241224,2006-09-28 00:00:00.000,ST_CLERK,2700,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
179,127,James,Landry,JLANDRY,6501241334,2007-01-14 00:00:00.000,ST_CLERK,2400,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
180,128,Steven,Markle,SMARKLE,6501241434,2008-03-08 00:00:00.000,ST_CLERK,2200,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
181,129,Laura,Bissot,LBISSOT,6501245234,2005-08-20 00:00:00.000,ST_CLERK,3300,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
182,130,Mozhe,Atkinson,MATKINSO,6501246234,2005-10-30 00:00:00.000,ST_CLERK,2800,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
183,131,James,Marlow,JAMRLOW,6501247234,2005-02-16 00:00:00.000,ST_CLERK,2500,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
184,132,TJ,Olson,TJOLSON,6501248234,2007-04-10 00:00:00.000,ST_CLERK,2100,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
185,133,Jason,Mallin,JMALLIN,6501271934,2004-06-14 00:00:00.000,ST_CLERK,3300,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
186,134,Michael,Rogers,MROGERS,6501271834,2006-08-26 00:00:00.000,ST_CLERK,2900,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
187,135,Ki,Gee,KGEE,6501271734,2007-12-12 00:00:00.000,ST_CLERK,2400,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
188,136,Hazel,Philtanker,HPHILTAN,6501271634,2008-02-06 00:00:00.000,ST_CLERK,2200,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
189,137,Renske,Ladwig,RLADWIG,6501211234,2003-07-14 00:00:00.000,ST_CLERK,3600,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
190,138,Stephen,Stiles,SSTILES,6501212034,2005-10-26 00:00:00.000,ST_CLERK,3200,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
191,139,John,Seo,JSEO,6501212019,2006-02-12 00:00:00.000,ST_CLERK,2700,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
192,140,Joshua,Patel,JPATEL,6501211834,2006-04-06 00:00:00.000,ST_CLERK,2500,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
193,141,Trenna,Rajs,TRAJS,6501218009,2003-10-17 00:00:00.000,ST_CLERK,3500,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
194,142,Curtis,Davies,CDAVIES,6501212994,2005-01-29 00:00:00.000,ST_CLERK,3100,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
195,143,Randall,Matos,RMATOS,6501212874,2006-03-15 00:00:00.000,ST_CLERK,2600,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
196,144,Peter,Vargas,PVARGAS,6501212004,2006-07-09 00:00:00.000,ST_CLERK,2500,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
197,180,Winston,Taylor,WTAYLOR,6505079876,2006-01-24 00:00:00.000,SH_CLERK,3200,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
198,181,Jean,Fleaur,JFLEAUR,6505079877,2006-02-23 00:00:00.000,SH_CLERK,3100,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
199,182,Martha,Sullivan,MSULLIVA,6505079878,2007-06-21 00:00:00.000,SH_CLERK,2500,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
200,183,Girard,Geoni,GGEONI,6505079879,2008-02-03 00:00:00.000,SH_CLERK,2800,,120,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
201,184,Nandita,Sarchand,NSARCHAN,6505091876,2004-01-27 00:00:00.000,SH_CLERK,4200,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
202,185,Alexis,Bull,ABULL,6505092876,2005-02-20 00:00:00.000,SH_CLERK,4100,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
203,186,Julia,Dellinger,JDELLING,6505093876,2006-06-24 00:00:00.000,SH_CLERK,3400,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
204,187,Anthony,Cabrio,ACABRIO,6505094876,2007-02-07 00:00:00.000,SH_CLERK,3000,,121,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
205,188,Kelly,Chung,KCHUNG,6505051876,2005-06-14 00:00:00.000,SH_CLERK,3800,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
206,189,Jennifer,Dilly,JDILLY,6505052876,2005-08-13 00:00:00.000,SH_CLERK,3600,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
207,190,Timothy,Gates,TGATES,6505053876,2006-07-11 00:00:00.000,SH_CLERK,2900,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
208,191,Randall,Perkins,RPERKINS,6505054876,2007-12-19 00:00:00.000,SH_CLERK,2500,,122,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
209,192,Sarah,Bell,SBELL,6505011876,2004-02-04 00:00:00.000,SH_CLERK,4000,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
210,193,Britney,Everett,BEVERETT,6505012876,2005-03-03 00:00:00.000,SH_CLERK,3900,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
211,194,Samuel,McCain,SMCCAIN,6505013876,2006-07-01 00:00:00.000,SH_CLERK,3200,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
212,195,Vance,Jones,VJONES,6505014876,2007-03-17 00:00:00.000,SH_CLERK,2800,,123,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
213,196,Alana,Walsh,AWALSH,6505079811,2006-04-24 00:00:00.000,SH_CLERK,3100,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
214,197,Kevin,Feeney,KFEENEY,6505079822,2006-05-23 00:00:00.000,SH_CLERK,3000,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
215,198,Donald,OConnell,DOCONNEL,6505079833,2007-06-21 00:00:00.000,SH_CLERK,2600,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
216,199,Douglas,Grant,DGRANT,6505079844,2008-01-13 00:00:00.000,SH_CLERK,2600,,124,50,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
217,200,Jennifer,Whalen,JWHALEN,5151234444,2003-09-17 00:00:00.000,AD_ASST,4400,,101,10,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
218,201,Michael,Hartstein,MHARTSTE,5151235555,2004-02-17 00:00:00.000,MK_MAN,13000,,100,20,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
219,202,Pat,Fay,PFAY,6031236666,2005-08-17 00:00:00.000,MK_REP,6000,,201,20,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
220,203,Susan,Mavris,SMAVRIS,5151237777,2002-06-07 00:00:00.000,HR_REP,6500,,101,40,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
221,204,Hermann,Baer,HBAER,5151238888,2002-06-07 00:00:00.000,PR_REP,10000,,101,70,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
222,205,Shelley,Higgins,SHIGGINS,5151238080,2002-06-07 00:00:00.000,AC_MGR,12008,,101,110,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
223,206,William,Gietz,WGIETZ,5151238181,2002-06-07 00:00:00.000,AC_ACCOUNT,8300,,205,110,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
224,207,Gandhi,Reddy,mohgandhi225@gmail.com,987654422,2002-06-07 00:00:00.000,AC_ACCOUNT,9600,0.22,206,100,2025-01-30 13:50:26.000,2025-01-30 13:51:25.000
225,207,Gandhi,Reddy,mohithzz8@gmail.com,9988776655,2002-06-07 00:00:00.000,AC_ACCOUNT,10280,0.22,206,100,2025-01-30 13:51:25.000,9999-12-31 00:00:00.000
